"LV_TRG#2 Time";"LV_TRG#2 ValueY";"LV_ACT#2 Time";"LV_ACT#2 ValueY";"STP_POS#2 Time";"STP_POS#2 ValueY";"Tnd_w2 Time";"Tnd_w2 ValueY";"CST_SPD#2 Time";"CST_SPD#2 ValueY";"Auto_SPD_SET2 Time";"Auto_SPD_SET2 ValueY";"CURRENT2 Time";"CURRENT2 ValueY";"sensor_fail Time";"sensor_fail ValueY"
2021/4/10 22:50:22;80;2021/4/10 22:50:22;0.145117253065109;2021/4/10 22:50:22;0;2021/4/10 22:50:22;0;2021/4/10 22:50:22;0;;;2021/4/10 22:50:22;0;;
2021/4/10 22:50:22;80;2021/4/10 22:50:22;0.169156953692436;2021/4/10 22:50:22;0;2021/4/10 22:50:22;0;2021/4/10 22:50:22;0;;;2021/4/10 22:50:22;0;;
2021/4/10 22:50:23;80;2021/4/10 22:50:23;0.160037040710449;2021/4/10 22:50:23;0;2021/4/10 22:50:23;0;2021/4/10 22:50:23;0;;;2021/4/10 22:50:23;0;;
2021/4/10 22:50:23;80;2021/4/10 22:50:23;0.151865467429161;2021/4/10 22:50:23;0;2021/4/10 22:50:23;0;2021/4/10 22:50:23;0;;;2021/4/10 22:50:23;0;;
2021/4/10 22:50:24;80;2021/4/10 22:50:24;0.149978250265121;2021/4/10 22:50:24;0;2021/4/10 22:50:24;0;2021/4/10 22:50:24;0;;;2021/4/10 22:50:24;0;;
2021/4/10 22:50:24;80;2021/4/10 22:50:24;0.15509195625782;2021/4/10 22:50:24;0;2021/4/10 22:50:24;0;2021/4/10 22:50:24;0;;;2021/4/10 22:50:24;0;;
2021/4/10 22:50:25;80;2021/4/10 22:50:25;0.167556345462799;2021/4/10 22:50:25;0;2021/4/10 22:50:25;0;2021/4/10 22:50:25;0;;;2021/4/10 22:50:25;0;;
2021/4/10 22:50:25;80;2021/4/10 22:50:25;0.159063085913658;2021/4/10 22:50:25;0;2021/4/10 22:50:25;0;2021/4/10 22:50:25;0;;;2021/4/10 22:50:25;0;;
2021/4/10 22:50:26;80;2021/4/10 22:50:26;0.143001049757004;2021/4/10 22:50:26;0;2021/4/10 22:50:26;0;2021/4/10 22:50:26;0;;;2021/4/10 22:50:26;0;;
2021/4/10 22:50:26;80;2021/4/10 22:50:26;0.124459996819496;2021/4/10 22:50:26;0;2021/4/10 22:50:26;0;2021/4/10 22:50:26;0;;;2021/4/10 22:50:26;0;;
2021/4/10 22:50:27;80;2021/4/10 22:50:27;0.151574790477753;2021/4/10 22:50:27;0;2021/4/10 22:50:27;0;2021/4/10 22:50:27;0;;;2021/4/10 22:50:27;0;;
2021/4/10 22:50:27;80;2021/4/10 22:50:27;0.143243551254272;2021/4/10 22:50:27;0;2021/4/10 22:50:27;0;2021/4/10 22:50:27;0;;;2021/4/10 22:50:27;0;;
2021/4/10 22:50:28;80;2021/4/10 22:50:28;0.15399557352066;2021/4/10 22:50:28;0;2021/4/10 22:50:28;0;2021/4/10 22:50:28;0;;;2021/4/10 22:50:28;0;;
2021/4/10 22:50:28;80;2021/4/10 22:50:28;0.16742268204689;2021/4/10 22:50:28;0;2021/4/10 22:50:28;0;2021/4/10 22:50:28;0;;;2021/4/10 22:50:28;0;;
2021/4/10 22:50:29;80;2021/4/10 22:50:29;0.171957567334175;2021/4/10 22:50:29;0;2021/4/10 22:50:29;0;2021/4/10 22:50:29;0;;;2021/4/10 22:50:29;0;;
2021/4/10 22:50:29;80;2021/4/10 22:50:29;0.170897543430328;2021/4/10 22:50:29;0;2021/4/10 22:50:29;0;2021/4/10 22:50:29;0;;;2021/4/10 22:50:29;0;;
2021/4/10 22:50:30;80;2021/4/10 22:50:30;0.155384451150894;2021/4/10 22:50:30;0;2021/4/10 22:50:30;0;2021/4/10 22:50:30;0;;;2021/4/10 22:50:30;0;;
2021/4/10 22:50:30;80;2021/4/10 22:50:30;0.145279511809349;2021/4/10 22:50:30;0;2021/4/10 22:50:30;0;2021/4/10 22:50:30;0;;;2021/4/10 22:50:30;0;;
2021/4/10 22:50:31;80;2021/4/10 22:50:31;0.161272600293159;2021/4/10 22:50:31;0;2021/4/10 22:50:31;0;2021/4/10 22:50:31;0;;;2021/4/10 22:50:31;0;;
2021/4/10 22:50:31;80;2021/4/10 22:50:31;0.161967143416405;2021/4/10 22:50:31;0;2021/4/10 22:50:31;0;2021/4/10 22:50:31;0;;;2021/4/10 22:50:31;0;;
2021/4/10 22:50:32;80;2021/4/10 22:50:32;0.143247202038765;2021/4/10 22:50:32;0;2021/4/10 22:50:32;0;2021/4/10 22:50:32;0;;;2021/4/10 22:50:32;0;;
2021/4/10 22:50:32;80;2021/4/10 22:50:32;0.116723090410233;2021/4/10 22:50:32;0;2021/4/10 22:50:32;0;2021/4/10 22:50:32;0;;;2021/4/10 22:50:32;0;;
2021/4/10 22:50:33;80;2021/4/10 22:50:33;0.131352454423904;2021/4/10 22:50:33;0;2021/4/10 22:50:33;0;2021/4/10 22:50:33;0;;;2021/4/10 22:50:33;0;;
2021/4/10 22:50:33;80;2021/4/10 22:50:33;0.15176548063755;2021/4/10 22:50:33;0;2021/4/10 22:50:33;0;2021/4/10 22:50:33;0;;;2021/4/10 22:50:33;0;;
2021/4/10 22:50:34;80;2021/4/10 22:50:34;0.140402108430862;2021/4/10 22:50:34;0;2021/4/10 22:50:34;0;2021/4/10 22:50:34;0;;;2021/4/10 22:50:34;0;;
2021/4/10 22:50:34;80;2021/4/10 22:50:34;0.142961710691452;2021/4/10 22:50:34;0;2021/4/10 22:50:34;0;2021/4/10 22:50:34;0;;;2021/4/10 22:50:34;0;;
2021/4/10 22:50:35;80;2021/4/10 22:50:35;0.126822590827942;2021/4/10 22:50:35;0;2021/4/10 22:50:35;0;2021/4/10 22:50:35;0;;;2021/4/10 22:50:35;0;;
2021/4/10 22:50:35;80;2021/4/10 22:50:35;0.147454425692558;2021/4/10 22:50:35;0;2021/4/10 22:50:35;0;2021/4/10 22:50:35;0;;;2021/4/10 22:50:35;0;;
2021/4/10 22:50:36;80;2021/4/10 22:50:36;0.157616212964058;2021/4/10 22:50:36;0;2021/4/10 22:50:36;0;2021/4/10 22:50:36;0;;;2021/4/10 22:50:36;0;;
2021/4/10 22:50:36;80;2021/4/10 22:50:36;0.133516162633896;2021/4/10 22:50:36;0;2021/4/10 22:50:36;0;2021/4/10 22:50:36;0;;;2021/4/10 22:50:36;0;;
2021/4/10 22:50:37;80;2021/4/10 22:50:37;0.1804179251194;2021/4/10 22:50:37;0;2021/4/10 22:50:37;0;2021/4/10 22:50:37;0;;;2021/4/10 22:50:37;0;;
2021/4/10 22:50:37;80;2021/4/10 22:50:37;0.184644863009453;2021/4/10 22:50:37;0;2021/4/10 22:50:37;0;2021/4/10 22:50:37;0;;;2021/4/10 22:50:37;0;;
