"LV_TRG#2 Time";"LV_TRG#2 ValueY";"LV_ACT#2 Time";"LV_ACT#2 ValueY";"STP_POS#2 Time";"STP_POS#2 ValueY";"tundish_weight2 Time";"tundish_weight2 ValueY";"CST_SPD#2 Time";"CST_SPD#2 ValueY";"Auto_SPD_SET2 Time";"Auto_SPD_SET2 ValueY";"CURRENT2 Time";"CURRENT2 ValueY";"sensor_fail Time";"sensor_fail ValueY"
2021/4/7 17:54:14;80;2021/4/7 17:54:14;0.16120021045208;2021/4/7 17:54:14;-0.244000017642975;2021/4/7 17:54:14;17.0464401245117;2021/4/7 17:54:14;0;;;2021/4/7 17:54:14;0;;
2021/4/7 17:54:14;80;2021/4/7 17:54:14;0.157102972269058;2021/4/7 17:54:14;-0.238000005483627;2021/4/7 17:54:14;17.2254791259766;2021/4/7 17:54:14;0;;;2021/4/7 17:54:14;0;;
2021/4/7 17:54:15;80;2021/4/7 17:54:15;0.157499492168427;2021/4/7 17:54:15;-0.220000013709068;2021/4/7 17:54:15;17.2960052490234;2021/4/7 17:54:15;0;;;2021/4/7 17:54:15;0;;
2021/4/7 17:54:15;80;2021/4/7 17:54:15;0.1588124781847;2021/4/7 17:54:15;-0.199000015854836;2021/4/7 17:54:15;17.2960052490234;2021/4/7 17:54:15;0;;;2021/4/7 17:54:15;0;;
2021/4/7 17:54:16;80;2021/4/7 17:54:16;0.161858409643173;2021/4/7 17:54:16;-0.199000015854836;2021/4/7 17:54:16;17.3990859985352;2021/4/7 17:54:16;0;;;2021/4/7 17:54:16;0;;
2021/4/7 17:54:16;80;2021/4/7 17:54:16;0.159557223320007;2021/4/7 17:54:16;-0.198000013828278;2021/4/7 17:54:16;17.5943984985352;2021/4/7 17:54:16;0;;;2021/4/7 17:54:16;0;;
2021/4/7 17:54:17;80;2021/4/7 17:54:17;0.160791978240013;2021/4/7 17:54:17;-0.19200000166893;2021/4/7 17:54:17;17.6974792480469;2021/4/7 17:54:17;0;;;2021/4/7 17:54:17;0;;
2021/4/7 17:54:17;80;2021/4/7 17:54:17;0.162491112947464;2021/4/7 17:54:17;-0.191000014543533;2021/4/7 17:54:17;17.6974792480469;2021/4/7 17:54:17;0;;;2021/4/7 17:54:17;0;;
2021/4/7 17:54:18;80;2021/4/7 17:54:18;0.162072196602821;2021/4/7 17:54:18;-0.189000010490417;2021/4/7 17:54:18;17.7463073730469;2021/4/7 17:54:18;0;;;2021/4/7 17:54:18;0;;
2021/4/7 17:54:18;80;2021/4/7 17:54:18;0.163290664553642;2021/4/7 17:54:18;-0.180000007152557;2021/4/7 17:54:18;17.8982162475586;2021/4/7 17:54:18;0;;;2021/4/7 17:54:18;0;;
2021/4/7 17:54:19;80;2021/4/7 17:54:19;0.162314623594284;2021/4/7 17:54:19;-0.175000011920929;2021/4/7 17:54:19;18.0989532470703;2021/4/7 17:54:19;0;;;2021/4/7 17:54:19;0;;
2021/4/7 17:54:19;80;2021/4/7 17:54:19;0.164481580257416;2021/4/7 17:54:19;-0.172000005841255;2021/4/7 17:54:19;18.0989532470703;2021/4/7 17:54:19;0;;;2021/4/7 17:54:19;0;;
2021/4/7 17:54:20;80;2021/4/7 17:54:20;0.162412792444229;2021/4/7 17:54:20;-0.171000003814697;2021/4/7 17:54:20;18.1966171264648;2021/4/7 17:54:20;0;;;2021/4/7 17:54:20;0;;
2021/4/7 17:54:20;80;2021/4/7 17:54:20;0.162658646702766;2021/4/7 17:54:20;-0.13400000333786;2021/4/7 17:54:20;18.2454376220703;2021/4/7 17:54:20;0;;;2021/4/7 17:54:20;0;;
2021/4/7 17:54:21;80;2021/4/7 17:54:21;0.158977001905441;2021/4/7 17:54:21;-0.126000002026558;2021/4/7 17:54:21;18.4895858764648;2021/4/7 17:54:21;0;;;2021/4/7 17:54:21;0;;
2021/4/7 17:54:21;80;2021/4/7 17:54:21;0.159491747617722;2021/4/7 17:54:21;-0.125;2021/4/7 17:54:21;18.5492553710938;2021/4/7 17:54:21;0;;;2021/4/7 17:54:21;0;;
