"LV_TRG#1 Time";"LV_TRG#1 ValueY";"LV_ACT#1 Time";"LV_ACT#1 ValueY";"STP_POS#1 Time";"STP_POS#1 ValueY";"CST_SPD#1 Time";"CST_SPD#1 ValueY";"TND_W Time";"TND_W ValueY";"Auto_SPD_SET Time";"Auto_SPD_SET ValueY";"AutoSpeed_Control Time";"AutoSpeed_Control ValueY";"AutoSpeed_Start Time";"AutoSpeed_Start ValueY";"Current Time";"Current ValueY";"Sensor_failing Time";"Sensor_failing ValueY"
2021/4/7 17:54:29;80;2021/4/7 17:54:29;0.122993655502796;2021/4/7 17:54:29;0.38400000333786;2021/4/7 17:54:29;0;2021/4/7 17:54:29;20.0954818725586;2021/4/7 17:54:29;0;2021/4/7 17:54:29;0;2021/4/7 17:54:29;0;2021/4/7 17:54:29;0;;
2021/4/7 17:54:29;80;2021/4/7 17:54:29;0.125384405255318;2021/4/7 17:54:29;0.377000004053116;2021/4/7 17:54:29;0;2021/4/7 17:54:29;20.1985626220703;2021/4/7 17:54:29;0;2021/4/7 17:54:29;0;2021/4/7 17:54:29;0;2021/4/7 17:54:29;0;;
2021/4/7 17:54:30;80;2021/4/7 17:54:30;0.123378567397594;2021/4/7 17:54:30;0.378000020980835;2021/4/7 17:54:30;0;2021/4/7 17:54:30;20.2473983764648;2021/4/7 17:54:30;0;2021/4/7 17:54:30;0;2021/4/7 17:54:30;0;2021/4/7 17:54:30;0;;
2021/4/7 17:54:30;80;2021/4/7 17:54:30;0.128174781799316;2021/4/7 17:54:30;0.379000008106232;2021/4/7 17:54:30;0;2021/4/7 17:54:30;20.3558959960938;2021/4/7 17:54:30;0;2021/4/7 17:54:30;0;2021/4/7 17:54:30;0;2021/4/7 17:54:30;0;;
2021/4/7 17:54:31;80;2021/4/7 17:54:31;0.122119627892971;2021/4/7 17:54:31;0.555000007152557;2021/4/7 17:54:31;0;2021/4/7 17:54:31;20.4481353759766;2021/4/7 17:54:31;0;2021/4/7 17:54:31;0;2021/4/7 17:54:31;0;2021/4/7 17:54:31;0;;
2021/4/7 17:54:31;80;2021/4/7 17:54:31;0.126099064946175;2021/4/7 17:54:31;0.552000045776367;2021/4/7 17:54:31;0;2021/4/7 17:54:31;20.545783996582;2021/4/7 17:54:31;0;2021/4/7 17:54:31;0;2021/4/7 17:54:31;0;2021/4/7 17:54:31;0;;
2021/4/7 17:54:32;80;2021/4/7 17:54:32;0.126069739460945;2021/4/7 17:54:32;0.550999999046326;2021/4/7 17:54:32;0;2021/4/7 17:54:32;20.6108932495117;2021/4/7 17:54:32;0;2021/4/7 17:54:32;0;2021/4/7 17:54:32;0;2021/4/7 17:54:32;0;;
2021/4/7 17:54:32;80;2021/4/7 17:54:32;0.125362873077393;2021/4/7 17:54:32;0.552000045776367;2021/4/7 17:54:32;0;2021/4/7 17:54:32;20.6977005004883;2021/4/7 17:54:32;0;2021/4/7 17:54:32;0;2021/4/7 17:54:32;0;2021/4/7 17:54:32;0;;
2021/4/7 17:54:33;80;2021/4/7 17:54:33;0.127125605940819;2021/4/7 17:54:33;0.554000020027161;2021/4/7 17:54:33;0;2021/4/7 17:54:33;20.8496017456055;2021/4/7 17:54:33;0;2021/4/7 17:54:33;0;2021/4/7 17:54:33;0;2021/4/7 17:54:33;0;;
2021/4/7 17:54:33;80;2021/4/7 17:54:33;0.123537175357342;2021/4/7 17:54:33;0.554000020027161;2021/4/7 17:54:33;0;2021/4/7 17:54:33;20.9960861206055;2021/4/7 17:54:33;0;2021/4/7 17:54:33;0;2021/4/7 17:54:33;0;2021/4/7 17:54:33;0;;
2021/4/7 17:54:34;80;2021/4/7 17:54:34;0.122575119137764;2021/4/7 17:54:34;0.550999999046326;2021/4/7 17:54:34;0;2021/4/7 17:54:34;21.044921875;2021/4/7 17:54:34;0;2021/4/7 17:54:34;0;2021/4/7 17:54:34;0;2021/4/7 17:54:34;0;;
2021/4/7 17:54:34;80;2021/4/7 17:54:34;0.120833873748779;2021/4/7 17:54:34;0.550000011920929;2021/4/7 17:54:34;0;2021/4/7 17:54:34;21.1480026245117;2021/4/7 17:54:34;0;2021/4/7 17:54:34;0;2021/4/7 17:54:34;0;2021/4/7 17:54:34;0;;
2021/4/7 17:54:35;80;2021/4/7 17:54:35;0.122177846729755;2021/4/7 17:54:35;0.552000045776367;2021/4/7 17:54:35;0;2021/4/7 17:54:35;21.2456588745117;2021/4/7 17:54:35;0;2021/4/7 17:54:35;0;2021/4/7 17:54:35;0;2021/4/7 17:54:35;0;;
2021/4/7 17:54:35;80;2021/4/7 17:54:35;0.125906988978386;2021/4/7 17:54:35;0.550999999046326;2021/4/7 17:54:35;0;2021/4/7 17:54:35;21.3487396240234;2021/4/7 17:54:35;0;2021/4/7 17:54:35;0;2021/4/7 17:54:35;0;2021/4/7 17:54:35;0;;
2021/4/7 17:54:36;80;2021/4/7 17:54:36;0.125370487570763;2021/4/7 17:54:36;0.554000020027161;2021/4/7 17:54:36;0;2021/4/7 17:54:36;21.3975677490234;2021/4/7 17:54:36;0;2021/4/7 17:54:36;0;2021/4/7 17:54:36;0;2021/4/7 17:54:36;0;;
2021/4/7 17:54:36;80;2021/4/7 17:54:36;0.125034943223;2021/4/7 17:54:36;0.553000032901764;2021/4/7 17:54:36;0;2021/4/7 17:54:36;21.5494766235352;2021/4/7 17:54:36;0;2021/4/7 17:54:36;0;2021/4/7 17:54:36;0;2021/4/7 17:54:36;0;;
2021/4/7 17:54:37;80;2021/4/7 17:54:37;0.122978828847408;2021/4/7 17:54:37;0.553000032901764;2021/4/7 17:54:37;0;2021/4/7 17:54:37;21.6471328735352;2021/4/7 17:54:37;0;2021/4/7 17:54:37;0;2021/4/7 17:54:37;0;2021/4/7 17:54:37;0;;
2021/4/7 17:54:37;80;2021/4/7 17:54:37;0.123690262436867;2021/4/7 17:54:37;0.553000032901764;2021/4/7 17:54:37;0;2021/4/7 17:54:37;21.7339401245117;2021/4/7 17:54:37;0;2021/4/7 17:54:37;0;2021/4/7 17:54:37;0;2021/4/7 17:54:37;0;;
2021/4/7 17:54:38;80;2021/4/7 17:54:38;0.12309318780899;2021/4/7 17:54:38;0.554000020027161;2021/4/7 17:54:38;0;2021/4/7 17:54:38;21.8478698730469;2021/4/7 17:54:38;0;2021/4/7 17:54:38;0;2021/4/7 17:54:38;0;2021/4/7 17:54:38;0;;
2021/4/7 17:54:38;80;2021/4/7 17:54:38;0.118194051086903;2021/4/7 17:54:38;0.554000020027161;2021/4/7 17:54:38;0;2021/4/7 17:54:38;21.9455261230469;2021/4/7 17:54:38;0;2021/4/7 17:54:38;0;2021/4/7 17:54:38;0;2021/4/7 17:54:38;0;;
2021/4/7 17:54:39;80;2021/4/7 17:54:39;0.118004515767097;2021/4/7 17:54:39;0.554000020027161;2021/4/7 17:54:39;0;2021/4/7 17:54:39;22.0486068725586;2021/4/7 17:54:39;0;2021/4/7 17:54:39;0;2021/4/7 17:54:39;0;2021/4/7 17:54:39;0;;
2021/4/7 17:54:39;80;2021/4/7 17:54:39;0.121445171535015;2021/4/7 17:54:39;0.554000020027161;2021/4/7 17:54:39;0;2021/4/7 17:54:39;22.1462631225586;2021/4/7 17:54:39;0;2021/4/7 17:54:39;0;2021/4/7 17:54:39;0;2021/4/7 17:54:39;0;;
2021/4/7 17:54:40;80;2021/4/7 17:54:40;0.122617356479168;2021/4/7 17:54:40;0.554000020027161;2021/4/7 17:54:40;0;2021/4/7 17:54:40;22.1950912475586;2021/4/7 17:54:40;0;2021/4/7 17:54:40;0;2021/4/7 17:54:40;0;2021/4/7 17:54:40;0;;
2021/4/7 17:54:40;80;2021/4/7 17:54:40;0.122389361262321;2021/4/7 17:54:40;0.555000007152557;2021/4/7 17:54:40;0;2021/4/7 17:54:40;22.3090209960938;2021/4/7 17:54:40;0;2021/4/7 17:54:40;0;2021/4/7 17:54:40;0;2021/4/7 17:54:40;0;;
2021/4/7 17:54:41;80;2021/4/7 17:54:41;0.121969044208527;2021/4/7 17:54:41;0.554000020027161;2021/4/7 17:54:41;0;2021/4/7 17:54:41;22.3958282470703;2021/4/7 17:54:41;0;2021/4/7 17:54:41;0;2021/4/7 17:54:41;0;2021/4/7 17:54:41;0;;
2021/4/7 17:54:41;80;2021/4/7 17:54:41;0.123204164206982;2021/4/7 17:54:41;0.555000007152557;2021/4/7 17:54:41;0;2021/4/7 17:54:41;22.4989166259766;2021/4/7 17:54:41;0;2021/4/7 17:54:41;0;2021/4/7 17:54:41;0;2021/4/7 17:54:41;0;;
2021/4/7 17:54:42;80;2021/4/7 17:54:42;0.122624754905701;2021/4/7 17:54:42;0.553000032901764;2021/4/7 17:54:42;0;2021/4/7 17:54:42;22.5965728759766;2021/4/7 17:54:42;0;2021/4/7 17:54:42;0;2021/4/7 17:54:42;0;2021/4/7 17:54:42;0;;
