value0,value1,value2,value3,value4,value5,value6
0.7083823680877686,0.7083824276924133,0.7083824276924133,0.7083823680877686,0.7083828449249268,0.7083823680877686,0.7083823680877686
0.5008184313774109,0.5008185505867004,0.5008182525634766,0.5008184909820557,0.5006536245346069,0.500818133354187,0.5008187890052795
0.4349251985549927,0.43492573499679565,0.4349254369735718,0.4349251985549927,0.43500959873199463,0.4349253177642822,0.4349251389503479
0.42567312717437744,0.4255441427230835,0.4256868362426758,0.4257683753967285,0.42510342597961426,0.4256936311721802,0.4256500005722046
0.41013121604919434,0.41009068489074707,0.41013556718826294,0.410161554813385,0.41000044345855713,0.41013777256011963,0.41012370586395264
0.4210689067840576,0.42105573415756226,0.4210628271102905,0.421079158782959,0.4209485650062561,0.4210640788078308,0.42107295989990234
0.4084632396697998,0.4084628224372864,0.4084601402282715,0.40846383571624756,0.40843307971954346,0.4084603786468506,0.4084659218788147
0.42100846767425537,0.4210466146469116,0.4209994077682495,0.4210304021835327,0.42121362686157227,0.4210076332092285,0.4210174083709717
0.4081993103027344,0.4082147479057312,0.4081956744194031,0.4082108736038208,0.40828990936279297,0.408199667930603,0.4082028269767761
0.42106664180755615,0.4211035966873169,0.4210587739944458,0.42137986421585083,0.4212985038757324,0.4210726022720337,0.42107462882995605
0.40809309482574463,0.40810900926589966,0.4080895185470581,0.4082433581352234,0.4081941843032837,0.4080958366394043,0.4080965518951416
0.4213064908981323,0.4213460683822632,0.42129790782928467,0.4216967225074768,0.421558141708374,0.4213142991065979,0.42131489515304565
0.4081476330757141,0.4081660509109497,0.4081435799598694,0.40832698345184326,0.4082658886909485,0.4081510305404663,0.4081515073776245
0.4217122793197632,0.4217557907104492,0.42170292139053345,0.422021746635437,0.4219803810119629,0.4217226505279541,0.42172133922576904
0.4083157777786255,0.4083364009857178,0.40831124782562256,0.40846002101898193,0.4084441661834717,0.4083207845687866,0.40831995010375977
0.4222153425216675,0.4222605228424072,0.4222056269645691,0.42243343591690063,0.4224867820739746,0.4222269058227539,0.422224760055542
