timespan,loss
0.053564,183.1929931640625
0.075296,181.5233612060547
0.091708,172.78475952148438
0.110209,153.98056030273438
0.130094,131.8331756591797
0.146442,106.46224975585938
0.164649,80.6809310913086
0.180674,58.22398376464844
0.198576,42.1377067565918
0.217648,33.68434143066406
0.242518,31.695003509521484
0.261901,31.816497802734375
0.280618,30.181095123291016
0.298618,26.095108032226562
0.31664,20.855993270874023
0.331639,16.155794143676758
0.35063,13.205148696899414
0.367137,12.397107124328613
0.38319,13.36055850982666
0.397211,15.275251388549805
0.421945,17.25416374206543
0.437513,18.627910614013672
0.457388,19.068134307861328
0.478485,18.57681655883789
0.497,17.40167999267578
0.511002,15.923568725585938
0.527761,14.53638744354248
0.544759,13.530766487121582
0.564762,13.004068374633789
0.582103,12.8375825881958
0.60718,12.773805618286133
0.626312,12.568965911865234
0.645058,12.128898620605469
0.661116,11.54234504699707
0.681161,11.004356384277344
0.698513,10.69285774230957
0.713517,10.673951148986816
0.727896,10.879714012145996
0.748265,11.156620979309082
0.764605,11.348136901855469
0.78958,11.365646362304688
0.809066,11.21658706665039
0.824699,10.98423957824707
0.840939,10.775115013122559
0.857199,10.661392211914062
0.875861,10.646954536437988
0.892358,10.674946784973145
0.908432,10.671391487121582
0.923431,10.595464706420898
0.938109,10.462567329406738
0.964805,10.327582359313965
0.982766,10.24478530883789
1.001666,10.234217643737793
1.017664,10.274670600891113
1.034859,10.322798728942871
1.049859,10.341904640197754
1.065872,10.321557998657227
1.083352,10.278120994567871
1.101079,10.239116668701172
1.118194,10.223316192626953
1.142596,10.229596138000488
1.162452,10.240731239318848
1.178945,10.237894058227539
1.196926,10.21447467803955
1.217894,10.179418563842773
1.234849,10.149065971374512
1.253492,10.134963989257812
1.267491,10.136914253234863
1.284082,10.145183563232422
1.301112,10.148762702941895
1.327466,10.142965316772461
1.346987,10.131335258483887
1.362967,10.121460914611816
1.381097,10.118619918823242
1.39775,10.122089385986328
1.415747,10.126479148864746
1.434494,10.126408576965332
1.451508,10.12055492401123
1.46769,10.112043380737305
1.483663,10.10540771484375
1.506647,10.102994918823242
1.528333,10.103639602661133
1.547881,10.104226112365723
1.56338,10.10245418548584
1.580879,10.098482131958008
1.597195,10.094359397888184
1.61119,10.09209156036377
1.628341,10.092015266418457
1.646547,10.092759132385254
1.664959,10.09259033203125
1.689249,10.090850830078125
1.70921,10.088289260864258
1.724211,10.086210250854492
1.741954,10.085298538208008
1.758624,10.08516788482666
1.7801,10.084863662719727
1.7956,10.083755493164062
1.811099,10.08200454711914
1.8271,10.080291748046875
1.842601,10.079170227050781
1.899683,10.078606605529785
1.918176,10.078124046325684
1.939634,10.07728099822998
1.960287,10.076045036315918
1.980633,10.074751853942871
1.999602,10.073746681213379
2.018022,10.073079109191895
2.036042,10.072511672973633
2.055725,10.071760177612305
2.07476,10.070775032043457
2.104966,10.069708824157715
2.126651,10.068775177001953
2.146101,10.068017959594727
2.167101,10.06731128692627
2.1866,10.066506385803223
2.207713,10.065560340881348
2.2232,10.064565658569336
2.241818,10.063641548156738
2.257821,10.062821388244629
2.276209,10.062036514282227
2.302367,10.061203002929688
