value0,value1,value2,value3,20210417-175400-strand2,20210417-175400-strand1,20210401-220000-strand1,20210401-220000-strand2
-0.227000013,0.55400002,-0.396000028,-2.147000074,-0.227000013,0.55400002,-0.396000028,-2.147000074
-0.198000014,0.55400002,-0.396000028,-2.148000002,-0.198000014,0.55400002,-0.396000028,-2.148000002
-0.176000014,0.55400002,-0.396000028,-2.147000074,-0.176000014,0.55400002,-0.396000028,-2.147000074
-0.176000014,0.55400002,-0.397000015,-2.146000147,-0.176000014,0.55400002,-0.397000015,-2.146000147
-0.176000014,0.555000007,-0.397000015,-2.145000219,-0.176000014,0.555000007,-0.397000015,-2.145000219
-0.175000012,0.55400002,-0.396000028,-2.145000219,-0.175000012,0.55400002,-0.396000028,-2.145000219
-0.175000012,0.555000007,-0.396000028,-2.145000219,-0.175000012,0.555000007,-0.396000028,-2.145000219
-0.175000012,0.553000033,-0.396000028,-2.147000074,-0.175000012,0.553000033,-0.396000028,-2.147000074
-0.175000012,0.55400002,-0.396000028,-5.229000092,-0.175000012,0.55400002,-0.396000028,-5.229000092
-0.175000012,0.552000046,-0.396000028,-4.008000374,-0.175000012,0.552000046,-0.396000028,-4.008000374
-0.175000012,0.55400002,-0.396000028,-4.004000187,-0.175000012,0.55400002,-0.396000028,-4.004000187
-0.175000012,0.55400002,-0.396000028,-4.004000187,-0.175000012,0.55400002,-0.396000028,-4.004000187
-0.175000012,0.556000054,-0.396000028,-3.737000227,-0.175000012,0.556000054,-0.396000028,-3.737000227
-0.175000012,0.555000007,-0.396000028,-3.680000067,-0.175000012,0.555000007,-0.396000028,-3.680000067
-0.175000012,0.555000007,-0.396000028,-3.493000269,-0.175000012,0.555000007,-0.396000028,-3.493000269
-0.175000012,0.556000054,-0.396000028,-4.315000057,-0.175000012,0.556000054,-0.396000028,-4.315000057
-0.175000012,0.555000007,-0.396000028,-2.183000088,-0.175000012,0.555000007,-0.396000028,-2.183000088
-0.175000012,0.556000054,-0.396000028,-2.153000116,-0.175000012,0.556000054,-0.396000028,-2.153000116
-0.17400001,0.557000041,-0.396000028,-2.150000095,-0.17400001,0.557000041,-0.396000028,-2.150000095
-0.173000008,0.557000041,-0.396000028,-2.139000177,-0.173000008,0.557000041,-0.396000028,-2.139000177
-0.17400001,0.557000041,-0.396000028,-1.916000128,-0.17400001,0.557000041,-0.396000028,-1.916000128
-0.17400001,0.556000054,-0.396000028,-1.919000149,-0.17400001,0.556000054,-0.396000028,-1.919000149
-0.173000008,0.558000028,-0.395000011,-1.922000051,-0.173000008,0.558000028,-0.395000011,-1.922000051
-0.173000008,0.559000015,-0.395000011,-1.913000107,-0.173000008,0.559000015,-0.395000011,-1.913000107
-0.173000008,0.561000049,-0.395000011,-1.911000133,-0.173000008,0.561000049,-0.395000011,-1.911000133
-0.175000012,0.560000002,-0.395000011,-1.911000133,-0.175000012,0.560000002,-0.395000011,-1.911000133
-0.175000012,0.561000049,-0.396000028,-1.910000086,-0.175000012,0.561000049,-0.396000028,-1.910000086
-0.175000012,0.561000049,-0.396000028,-1.910000086,-0.175000012,0.561000049,-0.396000028,-1.910000086
-0.175000012,0.561000049,-0.396000028,-1.913000107,-0.175000012,0.561000049,-0.396000028,-1.913000107
-0.177000001,0.561000049,-0.396000028,-1.921000123,-0.177000001,0.561000049,-0.396000028,-1.921000123
-0.177000001,0.562000036,-0.396000028,-4.149000168,-0.177000001,0.562000036,-0.396000028,-4.149000168
-0.177000001,0.562000036,-0.396000028,-2.11500001,-0.177000001,0.562000036,-0.396000028,-2.11500001
-0.177000001,0.561000049,-0.396000028,-2.106000185,-0.177000001,0.561000049,-0.396000028,-2.106000185
-0.177000001,0.563000023,-0.396000028,-2.097000122,-0.177000001,0.563000023,-0.396000028,-2.097000122
-0.177000001,0.563000023,-0.395000011,-2.09100008,-0.177000001,0.563000023,-0.395000011,-2.09100008
-0.177000001,0.56400001,-0.395000011,-2.088999987,-0.177000001,0.56400001,-0.395000011,-2.088999987
-0.177000001,0.568000019,-0.395000011,-2.084000111,-0.177000001,0.568000019,-0.395000011,-2.084000111
-0.177000001,0.636000037,-0.395000011,-2.082000017,-0.177000001,0.636000037,-0.395000011,-2.082000017
-0.177000001,0.730000019,-0.395000011,-2.078999996,-0.177000001,0.730000019,-0.395000011,-2.078999996
-0.177000001,0.951000035,-0.396000028,-2.077000141,-0.177000001,0.951000035,-0.396000028,-2.077000141
-0.179397359,0.953123033,-0.390851915,0.799984217,-0.177000001,0.954000056,-0.395000011,-2.071000099
-0.178679973,0.972621441,-0.392191082,0.834238291,-0.177000001,0.972000062,-0.395000011,-2.065999985
-0.183925599,0.972444892,-0.390863329,0.885345459,-0.179000005,0.968000054,-0.395000011,-2.062000036
-0.179902285,1.326250076,-0.390151381,1.092913151,-0.179000005,1.327000022,-0.395000011,-3.579000235
-0.178977862,1.229011774,-0.392518461,1.068970323,-0.179000005,1.227000117,-0.395000011,-6.047000408
-0.181311637,1.242104053,-0.391129196,1.082424283,-0.179000005,1.241000056,-0.395000011,-6.089000225
-0.181965008,1.256304979,-0.107603967,1.064587474,-0.178000003,1.253000021,-0.114000008,-4.847000122
-0.189776957,1.208659172,2.567527771,0.733229995,-0.181000009,1.208000064,2.565000057,-2.920000076
-0.200211495,4.19166851,3.484246492,3.295347214,-0.178000003,4.168000221,3.47300005,-0.320000023
2.088676453,4.578515053,3.847609043,4.094584465,2.103000164,4.567000389,3.846000195,2.92200017
5.410216808,8.632460594,5.351373196,8.075061798,5.437000275,8.601000786,5.331000328,5.274000168
11.3006134,16.21212578,7.739404678,15.65005875,11.27300072,16.22700119,7.71900034,7.302000523
16.69575691,16.88136864,10.17229652,17.04981422,16.69000053,16.87200165,10.15300083,9.927000046
16.64922905,14.92456055,10.17462158,15.27477646,16.64300156,14.91200066,10.15500069,8.401000023
15.55414581,12.70288754,10.13489151,13.11386776,15.55600071,12.68200016,10.12400055,7.628000259
14.95652676,12.60112,10.09952354,12.95805359,14.93700027,12.61000061,10.0880003,7.646000385
13.40575123,12.58614445,10.09578133,12.67491817,13.39600086,12.58400059,10.08700085,8.983000755
13.41861343,10.2939291,10.22591877,10.57917118,13.39900017,10.30300045,10.21600056,8.983000755
13.44842625,10.27592754,11.31417656,10.47287464,13.41500092,10.30200005,11.30500031,8.973999977
13.41235542,10.32084846,11.31574154,10.50580311,13.42500019,10.30200005,11.30400085,8.973999977
13.40529442,10.34400368,11.3108654,10.54735184,13.42900085,10.31100082,11.30300045,8.980000496
13.43566322,10.32034397,11.30997276,10.49393654,13.427001,10.31900024,11.30300045,8.973000526
13.41880131,10.32986259,11.30378532,10.58738995,13.427001,10.31600094,11.30300045,8.972000122
13.39398289,10.29148293,11.32296276,10.4579649,13.38500023,10.29100037,11.31200027,8.972000122
13.38469315,10.08918667,11.32379723,10.28324223,13.3760004,10.09000015,11.31300068,8.971000671
13.39461613,10.02412319,11.31130409,10.31708336,13.37700081,10.03900051,11.31200027,8.971000671
13.38230133,10.07344437,11.3151083,10.3258791,13.37700081,10.07600021,11.31200027,8.971000671
13.38703346,10.1158371,11.31778049,10.38558102,13.37700081,10.12200069,11.31700039,8.971000671
13.38514614,10.17143822,11.33141041,10.33272552,13.37700081,10.17500019,11.31800079,8.971000671
13.40523624,10.18396759,11.32864189,10.35873127,13.37700081,10.20200062,11.31800079,8.972000122
13.39050579,10.21331215,11.32689381,10.41959667,13.37700081,10.22300053,11.31800079,8.973000526
13.39512825,10.22399521,11.32703781,10.36987686,13.37700081,10.2310009,11.31800079,8.979000092
13.37838554,11.44832325,11.3314867,11.45669174,13.37700081,11.43600082,11.31700039,9.014000893
13.38975811,11.44470692,11.3220129,11.50627613,13.37700081,11.44900036,11.31700039,9.014000893
13.39468002,11.37992859,11.38061523,11.39530277,13.37700081,11.38200092,11.37100029,9.012000084
13.39240456,10.96398354,11.38792706,11.0485487,13.37700081,10.97200012,11.37900066,9.009000778
13.411376,10.93003559,11.38535976,11.03424835,13.37700081,10.96100044,11.38000011,9.008000374
13.37210941,11.04560184,11.3886404,11.1746664,13.37700081,11.03700066,11.38000011,9.006999969
13.39257813,11.06791592,11.3910923,11.11249733,13.37700081,11.06900024,11.37900066,9.006999969
13.37944698,11.08200359,11.3874197,11.16519547,13.37700081,11.08000088,11.37900066,9.006000519
13.38694,11.09627819,11.36566734,11.12362385,13.37700081,11.09500027,11.35100079,9.005000114
13.37606239,11.11096668,10.90580654,11.2339983,13.37700081,11.10000038,10.89500046,9.005000114
