LV_TRG#2 Time,STP_POS#2 ValueY,STP_POS#1 ValueY,STP_POS#1 ValueY,STP_POS#2 ValueY,STP_POS#2 ValueY,STP_POS#2 ValueY
1,-0.244000018,0.364000022,-0.738000035,-2.20600009,1.050999999,0
2,-0.238000005,0.36500001,-0.735000014,-2.203000069,1.050999999,0
3,-0.220000014,0.370000005,-0.732000053,-2.200000048,1.050999999,0
4,-0.199000016,0.37500003,-0.731000006,-2.197000027,1.050000072,0
5,-0.199000016,0.380000025,-0.730000019,-2.192000151,1.050999999,0
6,-0.198000014,0.382000029,-0.730000019,-2.18900013,1.050000072,0
7,-0.192000002,0.377000004,-0.728000045,-2.184000015,1.050000072,0
8,-0.191000015,0.37500003,-0.726000011,-2.180999994,1.050000072,0
9,-0.18900001,0.376000017,-0.722000062,-2.176000118,1.050999999,0
10,-0.180000007,0.377000004,-0.721000016,-2.175000191,1.050000072,0
11,-0.175000012,0.374000013,-0.718000054,-2.173000097,1.050000072,0
12,-0.172000006,0.37500003,-0.713000059,-2.17200017,1.050999999,0
13,-0.171000004,0.378000021,-0.710000038,-2.17200017,1.050999999,0
14,-0.134000003,0.379000008,-0.709000051,-2.171000004,1.050000072,0
15,-0.126000002,0.380000025,-0.709000051,-2.170000076,1.050000072,0
16,-0.125,0.383000016,-0.708000004,-2.169000149,1.050000072,0
17,-0.125,0.384000003,-0.70600003,-2.169000149,1.050000072,0
18,-0.125,0.377000004,-0.638000011,-2.168000221,1.050000072,0
19,-0.124000005,0.378000021,-0.579000056,-2.167000055,1.050000072,0
20,-0.129000008,0.379000008,-0.570000052,-2.167000055,1.050999999,0
21,-0.13000001,0.555000007,-0.567000031,-2.166000128,1.050999999,0
22,-0.230000004,0.552000046,-0.56400001,-2.1650002,1.050999999,0
23,-0.236000016,0.550999999,-0.563000023,-2.1650002,1.050999999,0
24,-0.234000012,0.552000046,-0.562000036,-2.166000128,1.050999999,0
25,-0.235000014,0.55400002,-0.563000023,-2.1650002,1.050999999,0
26,-0.235000014,0.55400002,-0.562000036,-2.164000034,1.050999999,0
27,-0.235000014,0.550999999,-0.562000036,-2.163000107,1.050999999,0
28,-0.235000014,0.550000012,-0.562000036,-2.162000179,1.050999999,0
29,-0.235000014,0.552000046,-0.562000036,-2.162000179,1.050999999,0
30,-0.235000014,0.550999999,-0.562000036,-2.162000179,1.050999999,0
31,-0.235000014,0.55400002,-0.561000049,-2.162000179,1.050999999,0
32,-0.235000014,0.553000033,-0.561000049,-2.161000013,1.050999999,0
33,-0.235000014,0.553000033,-0.561000049,-2.162000179,1.050999999,0
34,-0.234000012,0.553000033,-0.561000049,-2.161000013,1.050999999,0
35,-0.231000006,0.55400002,-0.561000049,-2.159000158,1.050999999,0
36,-0.231000006,0.55400002,-0.561000049,-2.157999992,1.050999999,0
37,-0.232000008,0.55400002,-0.561000049,-2.157000065,1.050999999,0
38,-0.231000006,0.55400002,-0.561000049,-2.154000044,1.050999999,0
39,-0.231000006,0.55400002,-0.553000033,-2.152000189,1.050999999,0
40,-0.231000006,0.555000007,-0.543000042,-2.151000023,1.050999999,0
41,-0.229000017,0.55400002,-0.535000026,-2.150000095,1.050999999,0
42,-0.229000017,0.555000007,-0.531000018,-2.150000095,1.050999999,0
43,-0.229000017,0.553000033,-0.526000023,-2.148000002,1.050999999,0
44,-0.228000015,0.55400002,-0.518000007,-2.149000168,1.050999999,0
45,-0.229000017,0.552000046,-0.516000032,-2.148000002,1.050999999,0
46,-0.228000015,0.55400002,-0.515000045,-2.147000074,1.050999999,0
47,-0.228000015,0.55400002,-0.515000045,-2.147000074,1.052000046,0
48,-0.228000015,0.556000054,-0.515000045,-2.148000002,1.131000042,0
49,-0.228000015,0.555000007,-0.515000045,-2.147000074,1.136000037,0
50,-0.227000013,0.555000007,-0.516000032,-2.146000147,1.138000011,0
51,-0.198000014,0.556000054,-0.515000045,-2.145000219,1.231000066,0
52,-0.176000014,0.555000007,-0.515000045,-2.145000219,1.26000011,0
53,-0.176000014,0.556000054,-0.515000045,-2.145000219,1.26000011,0
54,-0.176000014,0.557000041,-0.515000045,-2.147000074,1.261000037,0
55,-0.175000012,0.557000041,-0.515000045,-5.229000092,1.286000013,0
56,-0.175000012,0.557000041,-0.516000032,-4.008000374,1.27700007,0
57,-0.175000012,0.556000054,-0.458000034,-4.004000187,1.27700007,0
58,-0.175000012,0.558000028,-0.467000008,-4.004000187,1.276000023,0
59,-0.175000012,0.559000015,-0.397000015,-3.737000227,1.275000095,1.00E-03
60,-0.175000012,0.561000049,-0.396000028,-3.680000067,1.275000095,0
61,-0.175000012,0.560000002,-0.396000028,-3.493000269,1.274000049,0
62,-0.175000012,0.561000049,-0.396000028,-4.315000057,1.274000049,0
63,-0.175000012,0.561000049,-0.396000028,-2.183000088,1.274000049,0
64,-0.175000012,0.561000049,-0.396000028,-2.153000116,1.274000049,0
65,-0.175000012,0.561000049,-0.396000028,-2.150000095,1.274000049,0
66,-0.175000012,0.562000036,-0.397000015,-2.139000177,1.274000049,0
67,-0.175000012,0.562000036,-0.397000015,-1.916000128,1.274000049,0
68,-0.17400001,0.561000049,-0.396000028,-1.919000149,1.275000095,0
69,-0.173000008,0.563000023,-0.396000028,-1.922000051,1.274000049,0
70,-0.17400001,0.563000023,-0.396000028,-1.913000107,1.275000095,0
71,-0.17400001,0.56400001,-0.396000028,-1.911000133,1.274000049,0
72,-0.173000008,0.568000019,-0.396000028,-1.911000133,1.275000095,0
73,-0.173000008,0.636000037,-0.396000028,-1.910000086,1.275000095,0
74,-0.173000008,0.730000019,-0.396000028,-1.910000086,1.275000095,0
75,-0.175000012,0.951000035,-0.396000028,-1.913000107,1.275000095,0
76,-0.175000012,0.954000056,-0.396000028,-1.921000123,1.275000095,0
77,-0.175000012,0.972000062,-0.396000028,-4.149000168,1.275000095,0
78,-0.175000012,0.968000054,-0.396000028,-2.11500001,1.275000095,0
79,-0.177000001,1.327000022,-0.396000028,-2.106000185,1.275000095,0
80,-0.177000001,1.227000117,-0.396000028,-2.097000122,1.275000095,0
81,-0.177000001,1.241000056,-0.396000028,-2.09100008,1.281000018,0
82,-0.177000001,1.253000021,-0.396000028,-2.088999987,1.34800005,0
83,-0.177000001,1.208000064,-0.396000028,-2.084000111,1.404000044,0
84,-0.177000001,4.168000221,-0.396000028,-2.082000017,1.408000112,0
85,-0.177000001,4.567000389,-0.395000011,-2.078999996,1.413000107,0
86,-0.177000001,8.601000786,-0.395000011,-2.077000141,1.421000123,0
87,-0.177000001,16.22700119,-0.395000011,-2.071000099,1.426000118,0
88,-0.177000001,16.87200165,-0.395000011,-2.065999985,1.431000113,0
89,-0.177000001,14.91200066,-0.396000028,-2.062000036,1.438000083,0
90,-0.177000001,12.68200016,-0.396000028,-3.579000235,1.448000073,0
91,-0.177000001,12.61000061,-0.396000028,-6.047000408,1.485000014,0
92,-0.179000005,12.58400059,-0.396000028,-6.089000225,1.5200001,0
93,-0.179000005,10.30300045,-0.396000028,-4.847000122,1.523000121,0
94,-0.179000005,10.30200005,-0.396000028,-2.920000076,1.524000049,0
95,-0.179000005,10.30200005,-0.396000028,-0.320000023,1.524000049,0
96,-0.178000003,10.31100082,-0.396000028,2.92200017,1.524000049,0
97,-0.181000009,10.31900024,-0.395000011,5.274000168,1.523000121,0
98,-0.178000003,10.31600094,-0.395000011,7.302000523,1.524000049,0
99,2.103000164,10.29100037,-0.395000011,9.927000046,1.524000049,0
100,5.437000275,10.09000015,-0.395000011,8.401000023,1.524000049,7.00E-02
101,11.27300072,10.03900051,-0.395000011,7.628000259,1.524000049,3.821000099
102,16.69000053,10.07600021,-0.396000028,7.646000385,1.524000049,7.783000469
103,16.64300156,10.12200069,-0.395000011,8.983000755,1.523000121,11.7840004
104,15.55600071,10.17500019,-0.395000011,8.983000755,1.523000121,14.96900082
105,14.93700027,10.20200062,-0.395000011,8.973999977,6.836000443,15.0010004
106,13.39600086,10.22300053,-0.395000011,8.973999977,10.41400051,15.0010004
107,13.39900017,10.2310009,-0.395000011,8.980000496,13.56700039,15
108,13.41500092,11.43600082,-0.395000011,8.973000526,16.1400013,15
109,13.42500019,11.44900036,-0.114000008,8.972000122,16.00699997,15
110,13.42900085,11.38200092,2.565000057,8.972000122,15.16500092,15
111,13.427001,10.97200012,3.47300005,8.971000671,14.90600109,15
112,13.427001,10.96100044,3.846000195,8.971000671,14.34900093,15.0010004
113,13.38500023,11.03700066,5.331000328,8.971000671,14.59900093,14.28800011
114,13.3760004,11.06900024,7.71900034,8.971000671,14.63700104,13.29800034
115,13.37700081,11.08000088,10.15300083,8.971000671,14.63400078,12.99900055
116,13.37700081,11.09500027,10.15500069,8.972000122,14.63100052,12
117,13.37700081,11.10000038,10.12400055,8.973000526,14.63100052,11.99900055
118,13.37700081,11.10100079,10.0880003,8.979000092,14.63100052,11.09899998
119,13.37700081,11.1060009,10.08700085,9.014000893,14.63100052,10
120,13.37700081,11.11800098,10.21600056,9.014000893,14.63000107,9.999000549
121,13.37700081,11.15200043,11.30500031,9.012000084,14.62400055,10.99900055
122,13.37700081,11.5720005,11.30400085,9.009000778,14.60900116,11.0010004
123,13.37700081,11.57700062,11.30300045,9.008000374,14.56600094,11.27200031
124,13.37700081,11.67300034,11.30300045,9.006999969,14.56500053,12.01500034
125,13.37700081,11.78700066,11.30300045,9.006999969,14.56500053,14.98800087
126,13.37700081,11.79000092,11.31200027,9.006000519,14.56500053,15.99199963
127,13.37700081,11.79000092,11.31300068,9.005000114,14.56500053,16.00200081
128,13.37700081,11.78700066,11.31200027,9.005000114,14.56600094,16.00100136
129,13.37700081,11.79200077,11.31200027,9.005000114,14.57900047,16.00000191
130,13.37700081,11.83200073,11.31700039,9.006000519,14.57800102,15.0010004
131,13.37700081,11.91600037,11.31800079,9.005000114,14.57800102,14.99900055
132,13.3760004,11.96200085,11.31800079,9.005000114,14.57800102,14.99900055
133,13.3760004,13.22700024,11.31800079,9.005000114,14.57600117,15
134,13.37700081,13.2300005,11.31800079,9.005000114,14.56200027,14.07900047
135,13.37700081,13.23600101,11.31700039,9.004000664,14.56800079,13.99900055
136,13.38500023,13.23800087,11.31700039,9.004000664,14.56900024,14
137,14.11700058,13.7840004,11.37100029,9.004000664,14.58000088,14
138,14.11300087,14.17100048,11.37900066,9.004000664,14.60800076,14
139,14.11200047,14.16800022,11.38000011,9.005000114,14.61000061,14
140,14.91900063,14.16800022,11.38000011,9.004000664,14.59800053,14
141,14.91900063,14.1600008,11.37900066,9.11700058,14.56100082,14
142,14.91800117,14.02700043,11.37900066,9.116000175,14.26900101,14
143,14.91900063,13.92800045,11.35100079,9.167000771,14.27400112,14
144,14.91900063,13.92800045,10.89500046,9.369000435,14.27500057,14
145,14.91800117,13.92400074,10.50900078,9.751000404,14.27500057,14
146,14.91800117,13.69200039,10.50900078,9.749000549,14.30300045,14
147,14.91800117,13.68100071,10.52400017,9.749000549,14.37200069,14
148,14.91700077,13.68800068,11.60000038,9.747000694,14.3730011,14
149,14.91700077,13.45000076,11.60000038,9.747000694,14.37400055,14
150,14.91700077,13.11100101,11.60000038,9.747000694,14.37400055,14
151,14.91700077,13.14100075,11.59900093,9.747000694,14.37700081,14
152,14.91700077,13.15700054,11.59800053,9.747000694,14.37900066,14
