目标液位#1 Time,目标液位#1 ValueY,实际液位#1 ValueY,塞棒位置#1 ValueY,拉速#1 ValueY,中包重量 ValueY,大包2重 ValueY
2022/6/8 12:38,77,0.125108585,0,0,1.600479126,294.6795349
2022/6/8 12:38,77,0.12083628,0,0,1.600479126,294.6795349
2022/6/8 12:38,77,0.120808586,0,0,1.65473175,294.6795349
2022/6/8 12:38,77,0.129946873,0,0,1.589630127,294.6795349
2022/6/8 12:38,77,0.124948747,0,0,1.551651001,294.6795349
2022/6/8 12:38,77,0.126495063,0,0,1.551651001,294.641571
2022/6/8 12:38,77,0.122508287,0,0,1.481121063,294.641571
2022/6/8 12:38,77,0.119195081,0,0,1.453994751,294.6035767
2022/6/8 12:38,77,0.12559326,0,0,1.502826691,294.6035767
2022/6/8 12:38,77,0.1238323,0,0,1.595054626,294.6289063
2022/6/8 12:38,77,0.130937621,0,0,1.687286377,294.6289063
2022/6/8 12:38,77,0.121284828,0,0,1.551651001,294.6035767
2022/6/8 12:38,77,0.124210939,0,0,1.551651001,294.6289063
2022/6/8 12:38,77,0.121695548,0,0,1.551651001,294.641571
2022/6/8 12:38,77,0.121598519,-0.605000019,0,1.502826691,294.641571
2022/6/8 12:38,77,0.125533983,-0.605000019,0,1.551651001,294.6289063
2022/6/8 12:38,77,0.126790151,-0.605000019,0,1.551651001,294.6289063
2022/6/8 12:38,77,0.128072932,-0.605000019,0,1.453994751,294.641571
2022/6/8 12:38,77,0.127530724,-0.606000006,0,1.551651001,294.552948
2022/6/8 12:38,77,0.140379384,-0.606000006,0,1.551651001,294.5402832
2022/6/8 12:38,77,0.131836742,-0.605000019,0,1.551651001,294.4896545
2022/6/8 12:39,77,0.125649422,-0.605000019,0,1.502826691,294.3883972
2022/6/8 12:39,77,0.129960209,-0.605000019,0,1.502826691,294.3757324
2022/6/8 12:39,77,0.127719596,-0.605000019,0,1.502826691,294.3250732
2022/6/8 12:39,77,0.130413458,-0.605000019,0,1.502826691,294.2744446
2022/6/8 12:39,77,0.129158527,-0.605000019,0,1.497398376,294.2871094
2022/6/8 12:39,77,0.127042383,-0.605000019,0,1.546226501,294.2871094
2022/6/8 12:39,77,0.123946212,-0.605000019,0,1.746963501,294.2617798
2022/6/8 12:39,77,0.127590492,-0.605000019,0,1.844619751,294.2238159
2022/6/8 12:39,77,0.123840377,-0.605000019,0,1.9477005,294.2744446
2022/6/8 12:39,77,0.124024369,-0.605000019,0,2.045360565,294.2364807
2022/6/8 12:39,77,0.127017111,-0.605000019,0,2.094184875,294.2364807
2022/6/8 12:39,77,0.127491012,-0.606000006,0,2.246097565,294.2364807
2022/6/8 12:39,77,0.125697762,-0.606000006,0,2.349178314,294.2238159
2022/6/8 12:39,77,0.127843112,-0.607000053,0,2.452259064,294.1605225
2022/6/8 12:39,77,0.126825616,-0.607000053,0,2.506511688,294.0845642
2022/6/8 12:39,77,0.126980737,-0.607000053,0,2.652996063,294.008606
2022/6/8 12:39,77,0.127503455,-0.607000053,0,2.756076813,293.9199829
2022/6/8 12:39,77,0.128136382,-0.607000053,0,2.853736877,293.8187256
2022/6/8 12:39,77,0.125611186,-0.607000053,0,2.956817627,293.7427673
2022/6/8 12:39,77,0.121279895,-0.607000053,0,3.054473877,293.6035156
2022/6/8 12:39,77,0.122147053,-0.607000053,0,3.103302002,293.5022278
2022/6/8 12:39,77,0.125571921,-0.607000053,0,3.255210876,293.4389343
2022/6/8 12:39,77,0.122262187,-0.607000053,0,3.352867126,293.2996826
2022/6/8 12:39,77,0.129869178,-0.607000053,0,3.407123566,293.1857605
2022/6/8 12:39,77,0.132832065,-0.607000053,0,3.504776001,293.0718384
2022/6/8 12:39,77,0.127549842,0,0,3.60785675,292.9578857
2022/6/8 12:39,77,0.132092267,0,0,3.748916626,292.8439636
2022/6/8 12:39,77,0.132717937,0,0,3.846576691,292.7427063
2022/6/8 12:39,77,0.127118617,-1.00E-03,0,3.955078125,292.6414185
2022/6/8 12:39,77,0.129231587,0,0,4.112419128,292.5527954
2022/6/8 12:39,77,0.129481241,0,0,4.199222565,292.4515381
2022/6/8 12:39,77,0.123772457,0,0,4.356555939,292.3502502
2022/6/8 12:39,77,0.124415785,0,0,4.497615814,292.2489929
2022/6/8 12:39,77,0.12945269,0,0,4.600696564,292.1477051
2022/6/8 12:39,77,0.124529943,0,0,4.649524689,292.0591125
2022/6/8 12:39,77,0.126475275,0.017000001,0,4.758033752,291.8692017
2022/6/8 12:39,77,0.133580565,1.60E-02,0,4.899093628,291.8059082
2022/6/8 12:39,77,0.128925592,1.60E-02,0,4.953342438,291.7046509
2022/6/8 12:39,77,0.114340276,1.50E-02,0,5.110679626,291.5527344
2022/6/8 12:39,77,0.10190513,1.50E-02,0,5.251739502,291.4894409
2022/6/8 12:39,77,0.115948506,1.50E-02,0,5.300567627,291.5147705
2022/6/8 12:39,77,0.125002086,1.40E-02,0,5.452476501,291.4388123
2022/6/8 12:39,77,0.124422207,1.50E-02,0,5.501304626,291.3248596
2022/6/8 12:39,77,0.123993695,1.50E-02,0,5.61523819,291.1856079
2022/6/8 12:39,77,0.124910153,1.50E-02,0,5.750873566,291.0716858
2022/6/8 12:39,77,0.125398725,1.50E-02,0,5.837677002,290.9830627
2022/6/8 12:39,77,0.127586305,1.50E-02,0,5.95160675,290.8058472
2022/6/8 12:39,77,0.120454937,1.50E-02,0,6.032989502,290.7045593
2022/6/8 12:39,77,0.122114561,1.50E-02,0,6.10351944,290.5779724
2022/6/8 12:39,77,0.125288665,1.50E-02,0,6.304256439,290.5020142
2022/6/8 12:39,77,0.119523063,1.50E-02,0,6.353084564,290.3501282
2022/6/8 12:39,77,0.122767359,1.50E-02,0,6.456169128,290.147583
2022/6/8 12:39,77,0.123852029,1.50E-02,0,6.553821564,290.0462952
2022/6/8 12:39,77,0.124851264,1.50E-02,0,6.602653503,289.9450378
2022/6/8 12:39,77,0.123208188,1.50E-02,0,6.705734253,289.8817139
2022/6/8 12:39,77,0.128375679,1.50E-02,0,6.803390503,289.7298279
2022/6/8 12:39,77,0.124487072,1.50E-02,0,6.906471252,289.6538696
2022/6/8 12:39,77,0.124781832,1.50E-02,0,7.004123688,289.5652466
2022/6/8 12:39,77,0.124378972,1.50E-02,0,7.004123688,289.4386597
2022/6/8 12:39,77,0.127328262,1.50E-02,0,7.280818939,289.3373718
2022/6/8 12:39,77,0.126267806,1.50E-02,0,7.405601501,289.2361145
2022/6/8 12:39,77,0.127428859,1.50E-02,0,7.557510376,289.1474915
2022/6/8 12:39,77,0.12771365,1.50E-02,0,7.600914001,289.0335693
2022/6/8 12:39,77,0.124283887,1.50E-02,0,7.698570251,288.9322815
2022/6/8 12:39,77,0.132075071,1.60E-02,0,7.8070755,288.8310242
2022/6/8 12:39,77,0.127352878,1.60E-02,0,7.503257751,288.7297363
2022/6/8 12:39,77,0.128072634,1.60E-02,0,7.75825119,288.628479
2022/6/8 12:39,77,0.123677708,1.50E-02,0,7.421878815,288.5145264
2022/6/8 12:39,77,0.128719792,1.60E-02,0,7.649742126,288.413269
2022/6/8 12:39,77,0.129389659,1.60E-02,0,7.335075378,288.2866821
2022/6/8 12:39,77,0.12796928,1.60E-02,0,7.649742126,288.1853943
2022/6/8 12:39,77,0.126061797,0.017000001,0,9.42383194,288.084137
2022/6/8 12:39,77,0.124550335,0.017000001,0,10.20508194,287.9828491
2022/6/8 12:39,77,0.128516659,1.80E-02,0,10.35156631,287.8942566
2022/6/8 12:39,77,0.128470927,0.017000001,0,10.30273819,287.8309326
2022/6/8 12:39,77,0.129447594,1.10E-02,0,10.49805069,287.6790466
2022/6/8 12:39,77,0.125766292,1.50E-02,0,10.30816269,287.5777588
2022/6/8 12:39,77,0.130169988,1.50E-02,0,10.50889969,287.5271301
2022/6/8 12:39,77,0.130765885,1.50E-02,0,10.66623306,287.3752136
2022/6/8 12:39,77,0.127941385,1.60E-02,0,10.76931763,287.2612915
2022/6/8 12:39,77,0.128840759,1.50E-02,0,10.93750381,287.1473389
2022/6/8 12:39,77,0.129948094,1.50E-02,0,11.07313538,287.0460815
2022/6/8 12:39,77,0.122485764,1.50E-02,0,11.14908981,286.9321594
2022/6/8 12:39,77,0.127541259,1.50E-02,0,11.20334625,286.8308716
2022/6/8 12:39,77,0.128622785,1.60E-02,0,11.35525513,286.7169495
2022/6/8 12:39,77,0.121983029,1.60E-02,0,11.507164,286.6283264
2022/6/8 12:39,77,0.125576973,1.60E-02,0,11.54513931,286.5270691
2022/6/8 12:39,77,0.126702785,1.50E-02,0,11.64822388,286.4257813
2022/6/8 12:39,77,0.123728298,1.50E-02,0,11.64822388,286.3118591
2022/6/8 12:39,77,0.129469797,1.60E-02,0,11.74588013,286.2612
2022/6/8 12:39,77,0.12788178,1.60E-02,0,11.85438538,286.1219482
2022/6/8 12:39,77,0.128819361,1.60E-02,0,11.94661713,285.9573975
2022/6/8 12:39,77,0.128919229,1.80E-02,0,12.04970169,285.8814392
2022/6/8 12:39,77,0.123109207,1.90E-02,0,12.34267044,285.7801514
