value0,value1,value2,value3,value4,value5,value6
0.6784745454788208,0.6794126033782959,0.6782932281494141,0.6769515872001648,0.6803679466247559,0.6781740188598633,0.6787315607070923
1.0057251453399658,1.007901668548584,1.0052669048309326,1.0012750625610352,1.009958267211914,1.0049623250961304,1.0063467025756836
1.2882568836212158,1.290343165397644,1.2878046035766602,1.2836320400238037,1.2922587394714355,1.2875027656555176,1.2888615131378174
1.4667162895202637,1.468071699142456,1.4664183855056763,1.4635958671569824,1.4692991971969604,1.466219186782837,1.4671118259429932
1.562400460243225,1.5631603002548218,1.562232255935669,1.5606147050857544,1.5638437271118164,1.562119483947754,1.5626230239868164
1.6115086078643799,1.611922264099121,1.6114165782928467,1.6105244159698486,1.612292766571045,1.611354947090149,1.6116299629211426
1.6371726989746094,1.6374025344848633,1.6371214389801025,1.6366215944290161,1.6376078128814697,1.637087106704712,1.6372402906417847
1.651153326034546,1.6512857675552368,1.6511237621307373,1.6508337259292603,1.651403784751892,1.6511038541793823,1.6511921882629395
1.6591321229934692,1.6592116355895996,1.6591143608093262,1.6589393615722656,1.6592822074890137,1.659102439880371,1.6591553688049316
1.6638890504837036,1.6639385223388672,1.6638779640197754,1.6637682914733887,1.663982629776001,1.6638705730438232,1.6639037132263184
1.666836142539978,1.666867971420288,1.666828989982605,1.6667581796646118,1.6668963432312012,1.666824221611023,1.6668455600738525
1.6687227487564087,1.6687438488006592,1.668717861175537,1.668670892715454,1.6687626838684082,1.6687147617340088,1.6687289476394653
1.6699645519256592,1.6699788570404053,1.6699613332748413,1.6699292659759521,1.6699916124343872,1.669959306716919,1.669968843460083
1.6708016395568848,1.6708115339279175,1.6707993745803833,1.6707770824432373,1.6708202362060547,1.6707978248596191,1.670804500579834
1.671377182006836,1.6713842153549194,1.6713756322860718,1.6713597774505615,1.6713902950286865,1.6713745594024658,1.6713793277740479
1.671779990196228,1.6717849969863892,1.6717787981033325,1.6717674732208252,1.6717894077301025,1.6717780828475952,1.6717815399169922
1.6720659732818604,1.6720695495605469,1.672065258026123,1.6720569133758545,1.6720727682113647,1.6720646619796753,1.6720669269561768
1.672271728515625,1.6722743511199951,1.6722711324691772,1.672264814376831,1.6722767353057861,1.6722707748413086,1.6722724437713623
1.6724212169647217,1.6724231243133545,1.6724207401275635,1.6724162101745605,1.6724249124526978,1.672420620918274,1.672421932220459
1.6725311279296875,1.672532558441162,1.6725308895111084,1.6725273132324219,1.6725339889526367,1.6725306510925293,1.6725316047668457
1.6726126670837402,1.6726138591766357,1.6726124286651611,1.672609806060791,1.6726146936416626,1.6726123094558716,1.6726129055023193
1.6726735830307007,1.6726744174957275,1.6726734638214111,1.6726713180541992,1.6726751327514648,1.672673225402832,1.6726737022399902
1.6727194786071777,1.672719955444336,1.6727192401885986,1.672717571258545,1.6727205514907837,1.6727192401885986,1.6727195978164673
1.672754168510437,1.6727546453475952,1.6727540493011475,1.672752857208252,1.6727550029754639,1.6727540493011475,1.6727542877197266
1.6727807521820068,1.672781229019165,1.6727807521820068,1.6727796792984009,1.6727814674377441,1.6727807521820068,1.672780990600586
1.6728012561798096,1.6728014945983887,1.6728012561798096,1.6728003025054932,1.6728018522262573,1.67280113697052,1.6728013753890991
1.6728172302246094,1.6728172302246094,1.6728169918060303,1.6728163957595825,1.672817587852478,1.6728169918060303,1.6728172302246094
1.672829508781433,1.6728296279907227,1.672829508781433,1.6728287935256958,1.6728298664093018,1.672829508781433,1.672829508781433
1.6728392839431763,1.6728392839431763,1.6728391647338867,1.6728386878967285,1.6728394031524658,1.6728391647338867,1.6728392839431763
1.6728469133377075,1.672847032546997,1.6728469133377075,1.6728463172912598,1.672847032546997,1.6728469133377075,1.6728469133377075
1.6728529930114746,1.6728531122207642,1.6728529930114746,1.672852635383606,1.6728532314300537,1.6728529930114746,1.6728529930114746
1.6728577613830566,1.6728579998016357,1.6728577613830566,1.6728575229644775,1.6728579998016357,1.6728577613830566,1.6728578805923462
1.6728618144989014,1.672861933708191,1.6728618144989014,1.6728615760803223,1.672861933708191,1.6728618144989014,1.6728618144989014
1.6728649139404297,1.6728651523590088,1.6728649139404297,1.6728646755218506,1.6728651523590088,1.6728649139404297,1.6728650331497192
1.6728676557540894,1.672867774963379,1.6728676557540894,1.6728674173355103,1.672867774963379,1.6728676557540894,1.6728676557540894
1.6728698015213013,1.6728699207305908,1.6728698015213013,1.6728695631027222,1.6728699207305908,1.6728698015213013,1.6728698015213013
1.6728715896606445,1.6728715896606445,1.6728715896606445,1.6728713512420654,1.6728715896606445,1.6728715896606445,1.6728715896606445
1.6728730201721191,1.6728730201721191,1.6728729009628296,1.67287278175354,1.6728730201721191,1.6728730201721191,1.6728730201721191
1.6728742122650146,1.6728742122650146,1.6728742122650146,1.672874093055725,1.6728743314743042,1.6728742122650146,1.6728742122650146
1.6728752851486206,1.6728752851486206,1.672875165939331,1.6728750467300415,1.6728752851486206,1.672875165939331,1.6728752851486206
1.6728761196136475,1.6728761196136475,1.6728761196136475,1.6728758811950684,1.6728761196136475,1.6728761196136475,1.6728761196136475
1.6728768348693848,1.6728768348693848,1.6728768348693848,1.6728765964508057,1.6728768348693848,1.6728768348693848,1.6728768348693848
1.672877550125122,1.672877550125122,1.672877550125122,1.672877311706543,1.672877550125122,1.672877550125122,1.672877550125122
1.6728780269622803,1.6728780269622803,1.6728780269622803,1.6728777885437012,1.6728780269622803,1.6728780269622803,1.6728780269622803
1.672878384590149,1.672878384590149,1.672878384590149,1.6728782653808594,1.672878384590149,1.672878384590149,1.672878384590149
1.6728787422180176,1.6728787422180176,1.6728787422180176,1.6728785037994385,1.6728787422180176,1.6728787422180176,1.6728787422180176
1.6728790998458862,1.6728790998458862,1.6728790998458862,1.6728788614273071,1.6728790998458862,1.6728790998458862,1.6728790998458862
1.6728794574737549,1.6728794574737549,1.6728794574737549,1.6728792190551758,1.6728793382644653,1.6728794574737549,1.6728794574737549
1.672879695892334,1.672879695892334,1.672879695892334,1.6728794574737549,1.672879695892334,1.672879695892334,1.672879695892334
