timespan,loss
0.197368,184.32171630859375
0.225371,180.9730682373047
0.256719,164.8072509765625
0.286152,144.65274047851562
0.312155,119.66859436035156
0.343042,93.00086975097656
0.36904,68.54702758789062
0.394045,48.82917404174805
0.420243,35.82112503051758
0.448791,30.462207794189453
0.483426,30.150938034057617
0.507427,30.078622817993164
0.531429,27.689064025878906
0.557313,23.34693145751953
0.583817,18.55426788330078
0.608816,14.761954307556152
0.631817,12.837474822998047
0.657315,12.863353729248047
0.683315,14.290692329406738
0.710316,16.27284812927246
0.745232,18.021465301513672
0.774244,19.026105880737305
0.801242,19.08941650390625
0.826254,18.292217254638672
0.850201,16.914358139038086
0.875155,15.334878921508789
0.899155,13.926315307617188
0.922157,12.951156616210938
0.942154,12.482029914855957
0.963165,12.38506031036377
0.997252,12.397308349609375
1.022752,12.27403736114502
1.048773,11.918656349182129
1.073256,11.41296672821045
1.097755,10.941781044006348
1.123253,10.674406051635742
1.148459,10.67532730102539
1.170462,10.883015632629395
1.197961,11.153974533081055
1.227809,11.339276313781738
1.256807,11.351906776428223
1.283486,11.195669174194336
1.306489,10.949318885803223
1.33494,10.719161033630371
1.358931,10.58421802520752
1.37993,10.559773445129395
1.405119,10.597704887390137
1.430118,10.62295150756836
1.453645,10.582742691040039
1.474619,10.476405143737793
1.506615,10.348443031311035
1.52759,10.254423141479492
1.552711,10.225461959838867
1.578334,10.253396987915039
1.605447,10.301742553710938
1.636615,10.331162452697754
1.668698,10.321998596191406
1.693639,10.281540870666504
1.791613,10.234579086303711
1.998735,10.205257415771484
2.206002,10.202083587646484
2.289453,10.214849472045898
2.340431,10.22410774230957
2.39341,10.215605735778809
2.452399,10.189310073852539
2.509651,10.157549858093262
2.566122,10.135038375854492
2.617286,10.128872871398926
2.658784,10.13519287109375
2.699284,10.143600463867188
2.758804,10.145073890686035
2.800294,10.137551307678223
2.837561,10.125916481018066
2.869064,10.117319107055664
2.908561,10.115690231323242
2.951062,10.119362831115723
2.99156,10.123065948486328
3.037065,10.12224292755127
3.072064,10.116273880004883
3.107416,10.108321189880371
3.162892,10.102450370788574
3.210107,10.10054874420166
3.254626,10.1013822555542
3.307455,10.102080345153809
3.352424,10.100554466247559
3.399118,10.096917152404785
3.44349,10.093011856079102
3.4934,10.09071159362793
3.542318,10.090468406677246
3.593071,10.091168403625488
3.660004,10.091221809387207
3.701008,10.089845657348633
3.74535,10.087528228759766
3.776603,10.085404396057129
3.807603,10.084251403808594
3.840278,10.083930969238281
3.870389,10.083669662475586
3.903389,10.08277416229248
3.934387,10.081204414367676
3.960611,10.079476356506348
4.050804,10.078170776367188
4.083805,10.077452659606934
4.107775,10.07699966430664
4.138519,10.076358795166016
4.169978,10.07532787322998
4.198302,10.074088096618652
