value0,value1,value2,value3
-0.227000012993813,0.554000020027161,-0.396000027656555,-2.1470000743866
-0.198000013828278,0.554000020027161,-0.396000027656555,-2.14800000190735
-0.176000013947487,0.554000020027161,-0.396000027656555,-2.1470000743866
-0.176000013947487,0.554000020027161,-0.397000014781952,-2.14600014686584
-0.176000013947487,0.555000007152557,-0.397000014781952,-2.14500021934509
-0.175000011920929,0.554000020027161,-0.396000027656555,-2.14500021934509
-0.175000011920929,0.555000007152557,-0.396000027656555,-2.14500021934509
-0.175000011920929,0.553000032901764,-0.396000027656555,-2.1470000743866
-0.175000011920929,0.554000020027161,-0.396000027656555,-5.22900009155273
-0.175000011920929,0.552000045776367,-0.396000027656555,-4.00800037384033
-0.175000011920929,0.554000020027161,-0.396000027656555,-4.00400018692017
-0.175000011920929,0.554000020027161,-0.396000027656555,-4.00400018692017
-0.175000011920929,0.556000053882599,-0.396000027656555,-3.73700022697449
-0.175000011920929,0.555000007152557,-0.396000027656555,-3.6800000667572
-0.175000011920929,0.555000007152557,-0.396000027656555,-3.49300026893616
-0.175000011920929,0.556000053882599,-0.396000027656555,-4.31500005722046
-0.175000011920929,0.555000007152557,-0.396000027656555,-2.18300008773804
-0.175000011920929,0.556000053882599,-0.396000027656555,-2.15300011634827
-0.174000009894371,0.557000041007996,-0.396000027656555,-2.15000009536743
-0.173000007867813,0.557000041007996,-0.396000027656555,-2.13900017738342
-0.174000009894371,0.557000041007996,-0.396000027656555,-1.91600012779236
-0.174000009894371,0.556000053882599,-0.396000027656555,-1.91900014877319
-0.173000007867813,0.558000028133392,-0.395000010728836,-1.92200005054474
-0.173000007867813,0.559000015258789,-0.395000010728836,-1.91300010681152
-0.173000007867813,0.561000049114227,-0.395000010728836,-1.91100013256073
-0.175000011920929,0.560000002384186,-0.395000010728836,-1.91100013256073
-0.175000011920929,0.561000049114227,-0.396000027656555,-1.91000008583069
-0.175000011920929,0.561000049114227,-0.396000027656555,-1.91000008583069
-0.175000011920929,0.561000049114227,-0.396000027656555,-1.91300010681152
-0.177000001072884,0.561000049114227,-0.396000027656555,-1.92100012302399
-0.177000001072884,0.562000036239624,-0.396000027656555,-4.14900016784668
-0.177000001072884,0.562000036239624,-0.396000027656555,-2.11500000953674
-0.177000001072884,0.561000049114227,-0.396000027656555,-2.10600018501282
-0.177000001072884,0.563000023365021,-0.396000027656555,-2.09700012207031
-0.177000001072884,0.563000023365021,-0.395000010728836,-2.09100008010864
-0.177000001072884,0.564000010490417,-0.395000010728836,-2.08899998664856
-0.177000001072884,0.568000018596649,-0.395000010728836,-2.08400011062622
-0.177000001072884,0.636000037193298,-0.395000010728836,-2.08200001716614
-0.177000001072884,0.730000019073486,-0.395000010728836,-2.0789999961853
-0.177000001072884,0.951000034809113,-0.396000027656555,-2.0770001411438
-0.1783422976732254,0.9546619057655334,-0.39471542835235596,1.0014903545379639
-0.17786891758441925,0.9726664423942566,-0.39468511939048767,1.0487699508666992
-0.1817445009946823,0.9695746302604675,-0.3944600224494934,0.9739598631858826
-0.18076744675636292,1.3275606632232666,-0.39479270577430725,1.3627983331680298
-0.1806471049785614,1.2273186445236206,-0.39502111077308655,1.2617064714431763
-0.18173092603683472,1.243091106414795,-0.3938588500022888,1.2948392629623413
-0.1809215098619461,1.2542964220046997,-0.11343413591384888,1.3018314838409424
-0.1843549907207489,1.2103619575500488,2.566349983215332,1.155274510383606
-0.21236753463745117,4.19426965713501,3.489556312561035,4.092044830322266
2.0832223892211914,4.582052230834961,3.855780839920044,4.542962074279785
5.411948204040527,8.619277954101562,5.343297004699707,8.689096450805664
11.32120132446289,16.18480110168457,7.693352222442627,16.382699966430664
16.649810791015625,16.903711318969727,10.171579360961914,17.175132751464844
16.599821090698242,14.945497512817383,10.176777839660645,15.224369049072266
15.574060440063477,12.666229248046875,10.115606307983398,12.911673545837402
14.947516441345215,12.601343154907227,10.081710815429688,12.853492736816406
13.377084732055664,12.599513053894043,10.095438003540039,12.814887046813965
13.414347648620605,10.290363311767578,10.209003448486328,10.458719253540039
13.461471557617188,10.260293960571289,11.287019729614258,10.430438995361328
13.42894172668457,10.298584938049316,11.301986694335938,10.483525276184082
13.413397789001465,10.32429027557373,11.309971809387207,10.515593528747559
13.471233367919922,10.282732963562012,11.281599998474121,10.475525856018066
13.420571327209473,10.320874214172363,11.305800437927246,10.525100708007812
13.371037483215332,10.302762985229492,11.318187713623047,10.462076187133789
13.429990768432617,10.045876502990723,11.285923957824707,10.220708847045898
13.34623908996582,10.064020156860352,11.326979637145996,10.214288711547852
13.385884284973145,10.068998336791992,11.307053565979004,10.228555679321289
13.350200653076172,10.143218994140625,11.330550193786621,10.330799102783203
13.381037712097168,10.171818733215332,11.316447257995605,10.361063957214355
13.356488227844238,10.218667030334473,11.32785415649414,10.381372451782227
13.403585433959961,10.20182991027832,11.304193496704102,10.351363182067871
13.368136405944824,10.23785400390625,11.321344375610352,10.426215171813965
13.402603149414062,11.41502571105957,11.303948402404785,11.594762802124023
13.311148643493652,11.501727104187012,11.349400520324707,11.685029983520508
13.437681198120117,11.33225154876709,11.3406982421875,11.508092880249023
13.353514671325684,10.992020606994629,11.388535499572754,11.143759727478027
13.382814407348633,10.955818176269531,11.376629829406738,11.132319450378418
13.359800338745117,11.050841331481934,11.387901306152344,11.236071586608887
13.393280029296875,11.055586814880371,11.370508193969727,11.207829475402832
13.433728218078613,11.033649444580078,11.34959602355957,11.215712547302246
13.338044166564941,11.125826835632324,11.370433807373047,11.294668197631836
