ds,y
2021/4/10 22:50,0.116726533
2021/4/10 22:50,0.123277739
2021/4/10 22:50,0.115578912
2021/4/10 22:50,0.116988078
2021/4/10 22:50,0.118465573
2021/4/10 22:50,0.119562104
2021/4/10 22:50,0.118743144
2021/4/10 22:50,0.116664164
2021/4/10 22:50,0.117701396
2021/4/10 22:50,0.115973011
2021/4/10 22:50,0.123559244
2021/4/10 22:50,0.119745947
2021/4/10 22:50,0.115805671
2021/4/10 22:50,0.117235348
2021/4/10 22:50,0.111230172
2021/4/10 22:50,0.11634434
2021/4/10 22:50,0.115349695
2021/4/10 22:50,0.116510764
2021/4/10 22:50,0.116903618
2021/4/10 22:50,0.118636116
2021/4/10 22:50,0.118455485
2021/4/10 22:50,0.118182331
2021/4/10 22:50,0.118394651
2021/4/10 22:50,0.122444913
2021/4/10 22:50,0.115398332
2021/4/10 22:50,0.120891377
2021/4/10 22:50,0.121702135
2021/4/10 22:50,0.118301034
2021/4/10 22:50,0.122226626
2021/4/10 22:50,0.119786866
2021/4/10 22:50,0.118679628
2021/4/10 22:50,0.113869585
2021/4/10 22:50,0.120270766
2021/4/10 22:50,0.114586331
2021/4/10 22:50,0.114960268
2021/4/10 22:50,0.11317905
2021/4/10 22:50,0.110507265
2021/4/10 22:50,0.115867168
2021/4/10 22:50,0.113277383
2021/4/10 22:50,0.116552837
2021/4/10 22:50,0.116549574
2021/4/10 22:50,0.118092187
2021/4/10 22:50,0.117185883
2021/4/10 22:50,0.119911507
2021/4/10 22:50,0.114459947
2021/4/10 22:50,0.11532677
2021/4/10 22:50,0.115148939
2021/4/10 22:50,0.117381185
2021/4/10 22:50,0.119324379
2021/4/10 22:50,0.116649106
2021/4/10 22:50,0.118775539
2021/4/10 22:50,0.119845532
2021/4/10 22:50,0.123631321
2021/4/10 22:50,0.123345405
2021/4/10 22:50,0.118823491
2021/4/10 22:50,0.12120562
2021/4/10 22:50,0.118728228
2021/4/10 22:50,0.117154546
2021/4/10 22:50,0.121444643
2021/4/10 22:50,0.111167356
2021/4/10 22:50,0.112840146
2021/4/10 22:50,0.117924958
